Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Landing Page,8000,6918,0,65492,14741.67,4.163%,16.74414,27.68,1.96,1692.8
Forgot Password,8000,3235,0,66506,8964.35,3.662%,16.76397,27.63,2.22,1688.0
Daftar Akun,8000,3100,0,65409,8761.55,3.463%,16.76734,27.61,2.18,1686.1
Dashboard,8000,2894,0,66543,8339.29,3.250%,16.77198,27.58,2.06,1684.1
Daftar Pesanan,8000,2957,0,65735,8498.63,3.087%,16.77353,27.56,2.27,1682.5
Produk,8000,2904,0,66840,8514.70,3.062%,16.77525,27.56,2.14,1682.3
Paket Bermasalah,8000,2802,0,66382,8324.91,2.600%,16.77990,27.49,2.31,1677.9
Ticket,8000,2587,0,66101,7767.28,2.675%,16.80065,27.54,2.03,1678.6
Claim,8000,2714,0,66402,8124.65,2.587%,16.81100,27.54,2.02,1677.7
Saldo,8000,2684,0,66156,8137.12,2.538%,16.82248,27.55,2.02,1677.3
Afiliasi,8000,2575,0,65390,7976.57,2.312%,16.83721,27.54,2.07,1675.1
Rekap Pembeli,8000,2481,0,66746,7567.51,2.712%,16.85879,27.64,2.27,1678.9
Rekonsiliasi,8000,2655,0,66419,8254.79,2.188%,16.86636,27.57,2.27,1673.9
Alamat,8000,2586,0,66090,7866.03,2.538%,16.88326,27.65,2.17,1677.3
Open API,8000,2562,0,65631,7717.80,2.737%,16.90428,27.72,2.12,1679.2
Kebijakan Privasi,8000,2858,0,65765,8571.69,2.812%,16.93276,27.78,2.22,1679.9
Manajemen Tim,8000,3043,0,66434,8823.66,3.188%,16.96615,27.89,2.36,1683.5
TOTAL,136000,3033,0,66840,8842.20,2.916%,284.37902,466.80,36.48,1680.9
